order_id,customer_id,product,quantity,unit_price,total_amount,order_date,status,discount_percent,sales_rep
27,520,Consulting,76,909.98,55326.78,2022-08-26,shipped,20,Rep46
28,480,Consulting,38,725.77,23442.37,2023-11-04,delivered,15,Rep44
29,753,Support,61,801.76,39125.89,2023-10-31,processing,20,Rep14
30,708,Maintenance,12,670.39,7642.45,2022-10-17,processing,5,Rep13
31,621,Training,13,795.55,9307.93,2022-06-10,delivered,10,Rep16
32,571,Software License,3,365.2,986.04,2022-08-03,shipped,10,Rep44
33,179,Hardware,5,808.75,3437.19,2022-06-12,shipped,15,Rep8
34,233,Software License,72,231.85,15023.88,2023-09-25,shipped,10,Rep23
35,789,Hardware,35,897.35,25125.8,2022-02-17,cancelled,20,Rep43
36,724,Software License,57,801.0,45657.0,2022-04-17,pending,0,Rep40
37,801,Software License,72,51.55,3526.02,2023-09-17,pending,5,Rep41
38,892,Consulting,47,165.46,6610.13,2022-05-01,shipped,15,Rep49
39,511,Maintenance,13,162.75,1904.17,2023-06-03,shipped,10,Rep9
40,869,Consulting,57,969.94,52522.25,2022-05-06,pending,5,Rep31
41,294,Hardware,22,94.38,1764.91,2022-12-16,shipped,15,Rep24
42,681,Consulting,20,755.67,12846.39,2023-10-07,cancelled,15,Rep15
43,822,Training,53,918.84,38958.82,2022-05-22,delivered,20,Rep44
44,967,Software License,57,154.13,7028.33,2023-01-06,pending,20,Rep5
45,347,Support,52,982.13,43410.15,2022-03-28,processing,15,Rep4
46,778,Software License,85,923.29,62783.72,2023-02-07,processing,20,Rep4
47,731,Maintenance,67,972.93,55408.36,2023-10-09,delivered,15,Rep44
48,567,Support,93,745.27,69310.11,2023-12-19,shipped,0,Rep18
49,626,Consulting,90,409.9,29512.8,2023-06-25,processing,20,Rep40
50,668,Training,90,351.8,30078.9,2023-09-26,delivered,5,Rep20
51,38,Hardware,43,396.09,13625.5,2022-03-28,processing,20,Rep35
52,219,Software License,66,556.27,33042.44,2022-10-18,cancelled,10,Rep49
53,164,Software License,4,891.42,2852.54,2023-10-13,cancelled,20,Rep17
54,853,Support,93,428.52,39852.36,2022-09-05,cancelled,0,Rep47
55,862,Support,34,630.72,21444.48,2022-03-03,shipped,0,Rep4
56,964,Software License,58,304.98,15035.51,2023-10-29,pending,15,Rep22
57,825,Maintenance,75,569.94,34196.4,2022-08-30,cancelled,20,Rep15
58,307,Support,86,786.94,64293.0,2022-12-25,cancelled,5,Rep46
59,533,Maintenance,32,114.17,2922.75,2023-01-22,cancelled,20,Rep13
60,466,Software License,19,714.52,13575.88,2023-01-05,delivered,0,Rep6
61,436,Consulting,61,222.64,12222.94,2022-03-05,pending,10,Rep44
62,413,Hardware,72,523.76,33939.65,2023-06-23,delivered,10,Rep38
63,652,Training,57,692.13,33533.7,2023-05-26,delivered,15,Rep11
64,518,Consulting,63,714.04,35987.62,2022-05-28,processing,20,Rep34
65,712,Consulting,59,478.62,22590.86,2022-05-01,processing,20,Rep24
66,617,Training,15,129.66,1750.41,2022-05-02,cancelled,10,Rep3
67,157,Software License,48,311.88,13473.22,2023-06-20,shipped,10,Rep19
68,29,Consulting,19,785.95,14933.05,2023-05-13,delivered,0,Rep20
69,221,Consulting,95,493.91,37537.16,2022-10-18,pending,20,Rep23
70,892,Software License,54,486.36,21010.75,2022-03-11,shipped,20,Rep29
71,801,Training,61,836.12,48453.15,2022-12-12,cancelled,5,Rep49
72,517,Maintenance,59,764.06,42825.56,2022-05-22,delivered,5,Rep47
73,92,Hardware,86,627.35,51254.49,2022-11-30,delivered,5,Rep26
74,554,Software License,86,891.14,76638.04,2022-12-14,shipped,0,Rep11
75,26,Hardware,81,798.2,51723.36,2023-12-26,shipped,20,Rep42
76,660,Hardware,11,200.5,1764.4,2022-05-07,cancelled,20,Rep37
77,981,Hardware,67,197.5,10586.0,2022-02-24,delivered,20,Rep2
78,675,Hardware,24,962.75,21950.7,2022-05-04,shipped,5,Rep16
79,860,Hardware,57,93.8,4277.28,2023-12-24,cancelled,20,Rep21
80,604,Software License,63,863.35,48951.95,2023-02-16,pending,10,Rep28
81,425,Software License,68,324.21,22046.28,2022-07-04,shipped,0,Rep8
82,555,Consulting,37,152.59,5645.83,2022-04-12,shipped,0,Rep10
83,976,Training,87,177.5,13898.25,2022-11-11,cancelled,10,Rep12
84,731,Software License,39,396.04,14673.28,2022-01-28,shipped,5,Rep27
85,265,Training,16,61.36,785.41,2022-11-28,processing,20,Rep38
86,505,Hardware,97,509.38,44468.87,2022-08-31,pending,10,Rep4
87,476,Hardware,53,74.8,3369.74,2022-11-22,pending,15,Rep41
88,936,Software License,35,558.53,19548.55,2022-08-28,cancelled,0,Rep16
89,668,Consulting,39,572.56,22329.84,2023-07-23,delivered,0,Rep41
90,209,Consulting,48,545.04,24853.82,2023-05-28,processing,5,Rep35
91,985,Hardware,58,51.37,2383.57,2023-03-10,delivered,20,Rep19
92,996,Consulting,1,69.57,62.61,2023-10-31,delivered,10,Rep39
93,860,Maintenance,49,999.25,39170.6,2022-09-14,processing,20,Rep33
94,47,Consulting,95,538.75,46063.12,2022-10-16,pending,10,Rep6
95,716,Software License,18,727.82,11135.65,2023-02-09,shipped,15,Rep14
96,517,Support,88,945.95,70757.06,2023-09-18,shipped,15,Rep18
97,679,Support,44,218.52,8653.39,2022-09-09,cancelled,10,Rep2
98,137,Maintenance,1,612.7,612.7,2023-12-10,pending,0,Rep44
99,424,Hardware,90,706.27,50851.44,2022-06-27,delivered,20,Rep6
100,667,Software License,69,40.64,2804.16,2023-10-27,delivered,0,Rep23
101,848,Hardware,46,392.88,18072.48,2023-01-21,pending,0,Rep30
102,959,Consulting,57,19.27,988.55,2023-01-15,pending,10,Rep44
103,367,Consulting,12,818.12,9326.57,2023-12-28,shipped,5,Rep15
104,991,Support,5,287.95,1367.76,2023-05-21,cancelled,5,Rep1
105,841,Maintenance,51,119.84,4889.47,2022-07-20,shipped,20,Rep33
106,175,Hardware,25,663.24,13264.8,2023-05-21,cancelled,20,Rep37
107,67,Hardware,17,748.51,11452.2,2022-06-29,processing,10,Rep37
108,903,Hardware,94,784.43,73736.42,2022-08-22,processing,0,Rep45
109,546,Hardware,33,683.87,22567.71,2023-11-26,delivered,0,Rep28
110,690,Maintenance,7,855.32,5089.15,2023-10-19,shipped,15,Rep27
111,125,Maintenance,67,471.92,25294.91,2022-10-08,shipped,20,Rep49
112,906,Maintenance,29,56.5,1310.8,2022-02-14,delivered,20,Rep29
113,6,Training,25,341.36,8534.0,2022-11-20,cancelled,0,Rep48
114,707,Training,10,917.83,8719.39,2022-08-20,processing,5,Rep22
115,65,Maintenance,81,105.76,7281.58,2022-11-15,delivered,15,Rep2
116,817,Maintenance,43,842.1,36210.3,2023-08-30,processing,0,Rep31
117,982,Support,7,823.42,5475.74,2022-09-02,cancelled,5,Rep5
118,635,Training,98,104.71,8209.26,2023-09-07,delivered,20,Rep8
119,998,Software License,5,383.62,1822.19,2022-03-29,pending,5,Rep4
120,57,Support,79,629.92,49763.68,2023-03-29,pending,0,Rep44
121,573,Software License,38,851.43,32354.34,2022-02-27,delivered,0,Rep40
122,239,Hardware,85,627.77,45356.38,2023-02-25,delivered,15,Rep30
123,902,Hardware,80,110.27,7498.36,2023-03-15,pending,15,Rep34
124,602,Consulting,14,111.66,1563.24,2022-12-03,cancelled,0,Rep38
125,927,Hardware,17,640.99,9807.15,2022-07-18,shipped,10,Rep27
126,743,Hardware,57,194.06,11061.42,2023-05-08,processing,0,Rep4
127,320,Hardware,56,517.99,26106.7,2022-05-11,shipped,10,Rep38
128,795,Consulting,19,474.83,8119.59,2023-07-09,cancelled,10,Rep19
129,994,Software License,67,590.58,39568.86,2023-01-13,processing,0,Rep16
130,839,Hardware,7,427.84,2845.14,2023-06-04,processing,5,Rep41
131,805,Software License,44,197.46,7385.0,2022-07-26,delivered,15,Rep39
132,340,Hardware,73,963.43,63297.35,2023-12-11,cancelled,10,Rep27
133,167,Software License,59,877.34,43998.6,2022-12-03,pending,15,Rep15
134,655,Consulting,89,237.97,20120.36,2022-01-04,cancelled,5,Rep16
135,753,Support,95,382.15,34489.04,2023-05-08,delivered,5,Rep1
136,11,Software License,46,39.72,1735.76,2023-01-07,pending,5,Rep19
137,200,Maintenance,75,913.58,68518.5,2023-03-27,shipped,0,Rep2
138,203,Support,23,226.76,4954.71,2022-07-23,shipped,5,Rep22
139,252,Consulting,26,31.28,813.28,2023-07-22,shipped,0,Rep2
140,141,Training,84,789.54,59689.22,2023-11-25,pending,10,Rep14
141,468,Consulting,48,811.39,31157.38,2022-11-09,processing,20,Rep40
142,900,Maintenance,9,127.31,1088.5,2023-03-21,processing,5,Rep13
143,388,Maintenance,48,324.77,14809.51,2023-06-30,delivered,5,Rep3
144,602,Consulting,69,301.24,18707.0,2023-09-23,processing,10,Rep16
145,645,Support,17,852.99,12325.71,2022-02-24,cancelled,15,Rep14
146,804,Training,85,618.74,42074.32,2022-03-25,processing,20,Rep25
147,770,Hardware,48,503.6,22964.16,2023-10-23,delivered,5,Rep21
148,383,Hardware,89,488.46,36952.0,2023-12-31,delivered,15,Rep18
149,411,Maintenance,75,653.24,46543.35,2023-08-19,processing,5,Rep13
150,884,Consulting,51,226.41,9814.87,2023-04-08,delivered,15,Rep37
151,958,Support,33,555.05,18316.65,2022-06-10,processing,0,Rep19
152,532,Support,30,588.12,14114.88,2023-04-01,delivered,20,Rep40
153,437,Training,60,438.18,22347.18,2022-12-11,shipped,15,Rep21
154,392,Software License,23,447.27,10287.21,2022-10-07,shipped,0,Rep23
155,302,Hardware,66,551.19,32740.69,2022-03-26,pending,10,Rep15
156,122,Software License,47,47.9,2026.17,2022-04-11,processing,10,Rep13
157,338,Support,39,747.76,27704.51,2023-11-23,shipped,5,Rep46
158,142,Maintenance,95,547.69,52030.55,2023-09-11,shipped,0,Rep50
159,289,Support,52,946.36,49210.72,2022-11-03,cancelled,0,Rep31
160,525,Consulting,51,235.3,10200.26,2023-11-01,processing,15,Rep15
161,602,Hardware,97,474.05,41384.57,2023-06-13,delivered,10,Rep6
162,867,Consulting,55,772.43,40359.47,2022-11-17,delivered,5,Rep29
163,874,Hardware,4,380.95,1447.61,2023-04-06,cancelled,5,Rep20
164,512,Maintenance,46,346.42,13545.02,2022-01-10,delivered,15,Rep44
165,782,Maintenance,69,306.64,21158.16,2023-02-18,cancelled,0,Rep37
166,945,Consulting,20,977.47,15639.52,2022-02-02,shipped,20,Rep41
167,936,Hardware,74,868.28,61040.08,2023-09-10,delivered,5,Rep26
168,548,Training,25,480.03,9600.6,2022-03-07,shipped,20,Rep29
169,917,Support,12,179.71,2048.69,2023-10-17,cancelled,5,Rep3
170,618,Training,4,194.83,662.42,2023-12-07,pending,15,Rep19
171,239,Support,85,529.15,44977.75,2022-07-30,delivered,0,Rep24
172,12,Consulting,42,861.11,30741.63,2023-06-15,delivered,15,Rep11
173,133,Hardware,54,483.47,22191.27,2022-04-24,pending,15,Rep14
174,892,Consulting,40,437.88,16639.44,2022-05-14,delivered,5,Rep39
175,962,Support,76,210.94,14428.3,2023-08-12,delivered,10,Rep13
176,147,Training,9,826.34,7065.21,2022-01-08,cancelled,5,Rep34
177,933,Hardware,63,465.6,29332.8,2022-12-03,cancelled,0,Rep48
178,295,Maintenance,59,353.31,17718.5,2022-04-04,shipped,15,Rep40
179,426,Consulting,23,900.96,17613.77,2022-06-29,delivered,15,Rep25
180,188,Maintenance,73,104.58,7252.62,2023-11-06,pending,5,Rep11
181,904,Maintenance,69,298.97,19597.48,2022-10-08,pending,5,Rep32
182,781,Hardware,16,995.36,15925.76,2023-02-26,pending,0,Rep33
183,420,Training,22,260.24,5725.28,2022-11-30,cancelled,0,Rep30
184,75,Maintenance,89,678.87,51356.52,2022-01-28,delivered,15,Rep22
185,877,Consulting,51,47.4,2417.4,2023-02-13,shipped,0,Rep46
186,335,Maintenance,96,469.6,45081.6,2022-05-20,delivered,0,Rep6
187,673,Consulting,92,950.52,74330.66,2023-07-16,processing,15,Rep18
188,175,Software License,78,109.51,8541.78,2022-06-15,shipped,0,Rep35
189,173,Software License,86,765.95,62578.11,2023-02-05,shipped,5,Rep29
190,183,Consulting,92,44.1,3854.34,2023-01-02,cancelled,5,Rep29
191,49,Maintenance,67,644.6,36709.97,2023-12-15,pending,15,Rep45
192,455,Software License,77,14.62,1069.45,2022-11-12,delivered,5,Rep16
193,931,Consulting,26,100.47,2612.22,2023-01-19,delivered,0,Rep1
194,841,Consulting,88,672.26,59158.88,2022-12-12,processing,0,Rep43
195,742,Consulting,6,421.52,2276.21,2022-06-21,pending,10,Rep21
196,642,Consulting,80,215.05,14623.4,2023-07-30,cancelled,15,Rep28
197,238,Consulting,14,363.01,5082.14,2022-05-04,processing,0,Rep26
198,324,Software License,50,220.64,11032.0,2023-11-01,processing,0,Rep43
199,666,Hardware,48,53.5,2182.8,2022-10-13,processing,15,Rep20
200,512,Software License,92,540.82,47267.67,2023-09-06,cancelled,5,Rep17
201,615,Support,81,699.35,50982.61,2022-04-08,processing,10,Rep12
202,780,Maintenance,41,978.24,40107.84,2023-10-13,delivered,0,Rep22
203,624,Hardware,58,388.55,18028.72,2022-01-19,processing,20,Rep38
204,14,Consulting,3,620.19,1674.51,2023-12-23,pending,10,Rep16
205,776,Consulting,80,88.6,6379.2,2023-03-15,processing,10,Rep32
206,207,Consulting,49,212.34,9884.43,2022-10-31,pending,5,Rep47
207,969,Training,95,878.56,75116.88,2023-09-05,processing,10,Rep21
208,806,Software License,67,793.86,47869.76,2023-10-22,delivered,10,Rep49
209,235,Maintenance,43,349.3,12015.92,2022-01-25,processing,20,Rep4
210,255,Maintenance,90,722.31,55256.71,2023-11-12,cancelled,15,Rep34
211,188,Training,81,15.98,1294.38,2022-11-26,delivered,0,Rep13
212,650,Consulting,27,134.31,2901.1,2022-02-23,processing,20,Rep36
213,242,Hardware,11,431.98,4276.6,2022-07-29,delivered,10,Rep11
214,251,Training,23,609.79,12622.65,2022-07-22,shipped,10,Rep37
215,991,Maintenance,26,279.14,7257.64,2023-04-05,delivered,0,Rep24
216,387,Consulting,61,446.96,21811.65,2023-02-12,cancelled,20,Rep48
217,779,Consulting,62,29.61,1560.45,2023-03-20,delivered,15,Rep6
218,610,Hardware,20,557.32,10031.76,2022-11-04,processing,10,Rep25
219,314,Training,37,381.4,11995.03,2023-04-20,cancelled,15,Rep5
220,140,Maintenance,61,203.76,12429.36,2022-12-08,processing,0,Rep1
221,748,Maintenance,48,496.54,20258.83,2023-05-28,delivered,15,Rep48
222,394,Training,40,644.64,25785.6,2023-01-18,cancelled,0,Rep27
223,944,Software License,50,932.81,44308.47,2022-02-09,processing,5,Rep49
224,981,Support,99,913.96,72385.63,2023-03-23,shipped,20,Rep46
225,651,Maintenance,48,699.49,28539.19,2023-05-16,delivered,15,Rep48
226,249,Training,5,922.25,4611.25,2022-09-10,shipped,0,Rep45
227,661,Consulting,34,609.38,18647.03,2023-11-13,processing,10,Rep16
228,593,Maintenance,21,22.21,396.45,2023-09-09,pending,15,Rep26
229,601,Software License,67,910.85,57975.6,2023-12-25,delivered,5,Rep28
230,709,Support,65,968.01,50336.52,2022-09-16,delivered,20,Rep20
231,771,Maintenance,12,118.18,1276.34,2023-02-26,cancelled,10,Rep10
232,767,Consulting,96,403.99,38783.04,2022-10-03,shipped,0,Rep11
233,2,Software License,9,776.01,5587.27,2023-05-19,delivered,20,Rep27
234,296,Maintenance,56,178.93,9519.08,2023-11-02,shipped,5,Rep46
235,203,Training,24,507.59,10354.84,2022-05-18,pending,15,Rep37
236,191,Consulting,8,752.42,5417.42,2022-08-06,processing,10,Rep27
237,642,Hardware,14,869.68,12175.52,2023-03-28,processing,0,Rep19
238,387,Software License,36,73.62,2120.26,2022-03-29,pending,20,Rep16
239,497,Maintenance,98,109.8,9684.36,2023-05-05,pending,10,Rep49
240,682,Hardware,6,105.87,635.22,2022-01-08,cancelled,0,Rep25
241,533,Support,63,478.5,24116.4,2023-09-10,shipped,20,Rep28
242,380,Maintenance,44,999.45,39578.22,2022-12-11,processing,10,Rep43
243,388,Hardware,8,975.55,7804.4,2023-02-13,shipped,0,Rep1
244,892,Maintenance,52,727.97,37854.44,2023-04-13,processing,0,Rep39
245,890,Hardware,36,951.55,30830.22,2022-05-06,processing,10,Rep29
246,703,Maintenance,61,519.76,31705.36,2023-09-26,processing,0,Rep41
247,18,Maintenance,47,874.7,34944.26,2022-11-26,shipped,15,Rep15
248,497,Training,95,616.47,52708.19,2023-09-14,pending,10,Rep28
249,675,Maintenance,13,736.93,7664.07,2023-05-03,shipped,20,Rep13
250,147,Hardware,74,787.01,58238.74,2023-12-31,cancelled,0,Rep9
251,816,Software License,39,834.03,27648.09,2023-05-25,cancelled,15,Rep11
252,978,Software License,62,666.02,39228.58,2023-04-02,processing,5,Rep14
253,772,Maintenance,90,98.54,8868.6,2022-06-24,delivered,0,Rep11
254,925,Training,99,287.55,24197.33,2022-12-01,shipped,15,Rep43
255,682,Consulting,69,637.21,43967.49,2022-05-07,delivered,0,Rep45
256,893,Consulting,74,768.67,56881.58,2022-12-07,cancelled,0,Rep42
257,387,Maintenance,96,738.64,56727.55,2022-12-18,delivered,20,Rep28
258,229,Support,15,298.07,4471.05,2022-08-27,pending,0,Rep22
259,960,Consulting,96,942.59,81439.78,2023-08-30,cancelled,10,Rep9
260,977,Training,74,739.55,54726.7,2022-11-17,shipped,0,Rep38
261,195,Training,55,326.45,17057.01,2023-07-03,shipped,5,Rep34
262,617,Hardware,29,115.52,2680.06,2023-11-11,pending,20,Rep30
263,149,Support,29,504.83,13908.07,2022-11-20,delivered,5,Rep39
264,150,Maintenance,86,850.64,58524.03,2022-10-18,pending,20,Rep21
265,515,Maintenance,16,280.72,3817.79,2022-11-13,cancelled,15,Rep41
266,507,Support,91,966.83,79183.38,2022-08-09,pending,10,Rep10
267,869,Maintenance,29,703.4,19378.67,2022-08-04,pending,5,Rep32
268,307,Maintenance,21,991.15,17692.03,2023-02-06,cancelled,15,Rep22
269,695,Training,45,760.14,34206.3,2023-03-09,delivered,0,Rep34
270,290,Maintenance,25,704.1,14962.12,2022-10-17,cancelled,15,Rep7
271,332,Hardware,7,851.31,5065.29,2022-05-15,shipped,15,Rep42
272,592,Consulting,57,699.0,37850.85,2022-06-17,shipped,5,Rep14
273,824,Maintenance,26,737.97,17268.5,2022-08-12,pending,10,Rep47
274,105,Maintenance,19,382.79,6909.36,2023-08-13,delivered,5,Rep4
275,365,Training,23,945.61,17399.22,2022-04-09,pending,20,Rep42
276,608,Training,20,630.7,11983.3,2022-12-13,delivered,5,Rep3
277,247,Training,63,309.66,18533.15,2022-05-02,cancelled,5,Rep42
278,795,Maintenance,86,661.93,48387.08,2023-01-20,delivered,15,Rep18
279,669,Training,48,21.49,1031.52,2023-10-10,pending,0,Rep8
280,657,Maintenance,66,232.69,12286.03,2023-05-16,cancelled,20,Rep37
281,281,Maintenance,96,103.61,9449.23,2023-05-07,cancelled,5,Rep25
282,661,Maintenance,56,305.38,17101.28,2023-05-11,processing,0,Rep21
283,731,Hardware,24,411.28,8390.11,2022-03-07,pending,15,Rep36
284,803,Hardware,63,73.29,3693.82,2023-07-04,cancelled,20,Rep46
285,128,Consulting,85,898.63,61106.84,2023-10-30,processing,20,Rep45
286,6,Hardware,58,802.51,46545.58,2022-07-04,pending,0,Rep9
287,212,Maintenance,21,96.94,2035.74,2023-08-12,shipped,0,Rep6
288,519,Support,47,966.61,38616.07,2022-05-08,processing,15,Rep43
289,255,Support,6,946.75,5112.45,2022-01-01,cancelled,10,Rep43
290,456,Consulting,74,495.54,29335.97,2023-07-01,shipped,20,Rep23
291,552,Hardware,27,691.05,17725.43,2023-09-13,pending,5,Rep3
292,146,Support,28,957.85,21455.84,2022-07-12,cancelled,20,Rep14
293,368,Support,17,731.81,12440.77,2023-08-29,delivered,0,Rep36
294,267,Training,84,904.62,64589.87,2022-09-19,delivered,15,Rep6
295,693,Training,89,151.81,13511.09,2022-09-18,processing,0,Rep41
296,649,Maintenance,83,200.7,13326.48,2022-10-03,shipped,20,Rep43
297,841,Hardware,78,172.4,12102.48,2023-10-26,processing,10,Rep28
298,27,Hardware,32,86.75,2220.8,2023-01-24,pending,20,Rep8
299,562,Training,9,336.06,2722.09,2023-12-02,pending,10,Rep22
300,150,Consulting,36,19.76,675.79,2022-10-07,delivered,5,Rep25
301,802,Software License,23,531.21,9774.26,2022-04-18,shipped,20,Rep32
302,542,Support,90,576.44,41503.68,2022-04-08,shipped,20,Rep18
303,102,Software License,22,324.82,6788.74,2023-09-15,delivered,5,Rep23
304,992,Hardware,71,598.67,36129.73,2023-11-26,delivered,15,Rep38
305,266,Software License,88,518.43,43340.75,2022-05-11,processing,5,Rep10
306,582,Maintenance,35,62.34,2072.8,2023-01-23,shipped,5,Rep44
307,429,Maintenance,59,191.27,9592.19,2023-09-16,shipped,15,Rep33
308,283,Training,67,942.26,56818.28,2022-10-21,processing,10,Rep41
309,971,Support,53,772.87,40962.11,2022-03-31,pending,0,Rep5
310,968,Software License,22,579.56,11475.29,2022-09-03,pending,10,Rep36
311,828,Software License,55,680.26,31802.16,2023-05-20,processing,15,Rep32
312,702,Maintenance,69,700.9,48362.1,2023-06-12,delivered,0,Rep40
313,933,Maintenance,1,717.02,645.32,2022-07-14,cancelled,10,Rep16
314,974,Hardware,88,613.1,45859.88,2023-11-09,cancelled,15,Rep11
315,953,Hardware,29,183.07,5043.58,2023-11-22,shipped,5,Rep33
316,976,Software License,55,500.55,24777.23,2022-12-28,processing,10,Rep8
317,936,Maintenance,32,833.41,24002.21,2022-12-13,pending,10,Rep20
318,301,Support,28,12.21,290.6,2023-05-10,cancelled,15,Rep14
319,952,Maintenance,66,827.47,46421.07,2022-11-09,pending,15,Rep40
320,59,Support,1,619.37,557.43,2023-05-15,shipped,10,Rep23
321,6,Support,93,194.3,18069.9,2022-04-20,shipped,0,Rep7
322,504,Consulting,11,533.81,4991.12,2023-03-18,processing,15,Rep8
323,8,Consulting,99,660.07,55544.89,2023-05-15,processing,15,Rep26
324,307,Support,55,893.27,44216.86,2023-01-19,cancelled,10,Rep7
325,673,Training,21,148.48,3118.08,2023-03-26,delivered,0,Rep23
326,204,Software License,25,292.05,6206.06,2023-12-28,processing,15,Rep27
327,923,Software License,21,669.54,12654.31,2022-12-06,delivered,10,Rep8
328,501,Hardware,64,801.82,46184.83,2023-03-08,processing,10,Rep49
329,514,Maintenance,95,844.63,76227.86,2023-02-14,delivered,5,Rep8
330,812,Software License,17,163.99,2787.83,2022-04-21,cancelled,0,Rep50
331,243,Software License,87,831.54,57875.18,2023-12-02,delivered,20,Rep48
332,445,Training,38,289.4,9347.62,2022-01-09,pending,15,Rep16
333,157,Maintenance,66,194.99,12869.34,2023-09-25,shipped,0,Rep17
334,254,Maintenance,55,206.43,9082.92,2023-12-19,pending,20,Rep40
335,194,Hardware,81,638.13,51688.53,2022-07-05,processing,0,Rep9
336,40,Support,25,929.81,23245.25,2023-02-15,delivered,0,Rep40
337,94,Software License,49,413.22,19235.39,2022-07-24,shipped,5,Rep15
338,437,Training,8,514.77,3706.34,2022-12-11,pending,10,Rep8
339,373,Support,45,714.47,28936.04,2022-10-03,processing,10,Rep4
340,42,Software License,7,663.83,4414.47,2022-07-06,shipped,5,Rep19
341,287,Hardware,13,436.6,4824.43,2023-04-29,shipped,15,Rep24
342,312,Software License,13,672.26,8302.41,2022-12-09,cancelled,5,Rep22
343,760,Support,96,781.02,59982.34,2023-01-05,cancelled,20,Rep24
344,666,Support,27,588.48,15888.96,2022-09-01,pending,0,Rep9
345,761,Hardware,16,50.63,769.58,2023-10-07,processing,5,Rep46
346,948,Software License,10,942.4,8481.6,2023-04-02,cancelled,10,Rep20
347,780,Consulting,69,723.56,47429.36,2023-05-01,pending,5,Rep13
348,564,Maintenance,33,892.67,26512.3,2023-03-05,cancelled,10,Rep24
349,645,Maintenance,16,911.74,12399.66,2023-04-05,pending,15,Rep27
350,954,Hardware,3,175.27,499.52,2023-06-21,shipped,5,Rep19
351,979,Hardware,8,796.45,5415.86,2022-02-16,processing,15,Rep32
352,546,Hardware,10,173.86,1477.81,2023-12-03,cancelled,15,Rep36
353,411,Hardware,35,214.86,7144.1,2023-02-04,pending,5,Rep37
354,607,Maintenance,2,880.36,1496.61,2022-08-12,cancelled,15,Rep33
355,738,Hardware,34,310.38,9497.63,2023-12-26,processing,10,Rep46
356,566,Software License,22,231.69,4842.32,2022-10-02,cancelled,5,Rep19
357,655,Consulting,36,927.98,33407.28,2022-02-10,shipped,0,Rep42
358,844,Consulting,69,125.02,6901.1,2022-09-12,shipped,20,Rep24
359,86,Maintenance,71,271.4,16378.99,2022-11-29,processing,15,Rep40
360,333,Software License,81,817.76,62926.63,2022-10-29,shipped,5,Rep47
361,181,Support,3,542.01,1626.03,2022-10-14,cancelled,0,Rep47
362,392,Maintenance,33,871.33,23003.11,2023-12-06,cancelled,20,Rep14
363,226,Support,35,211.88,7045.01,2023-03-29,delivered,5,Rep29
364,748,Maintenance,56,374.95,20997.2,2022-08-26,delivered,0,Rep32
365,471,Consulting,23,196.97,4303.79,2022-07-05,delivered,5,Rep42
366,22,Support,21,886.4,14891.52,2022-10-16,delivered,20,Rep13
367,147,Software License,55,252.8,13904.0,2022-03-13,delivered,0,Rep47
368,141,Maintenance,97,809.91,78561.27,2023-06-24,cancelled,0,Rep25
369,22,Software License,2,765.81,1455.04,2023-01-29,pending,5,Rep16
370,275,Consulting,81,603.64,48894.84,2022-03-27,pending,0,Rep35
371,874,Maintenance,11,210.3,1850.64,2022-12-13,delivered,20,Rep29
372,315,Support,62,162.97,8083.31,2022-06-17,pending,20,Rep45
